Api Name,Api Type,Api File Path,Api Prefix,Api Params,API Args,Invoke Method,Invoke Location,Api Key,Invoke Instance,ChangeId,MethodDefinition
"Error","枚举赋值发生改变","harmonyos_api_changes/HarmonyOS_26.0.0_Beta2.json","Error","","throw new Error('CheckerboardDrawable: size must be > 0, got ' + this.sizeVal);","ArkTS","ohos_library\src\main\ets\CheckerboardDrawable.ets:170","Error@ohos_library\src\main\ets\CheckerboardDrawable.ets:170","","26.0.0 Beta2","Error"
"MODE_AUTO = -1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_AUTO","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_AUTO = -1@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_AUTO = -1"
"MODE_AUTO = -1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_AUTO","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_AUTO = -1@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_AUTO = -1"
"MODE_DARK = 0","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_DARK","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_DARK = 0@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_DARK = 0"
"MODE_DARK = 0","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_DARK","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_DARK = 0@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_DARK = 0"
"MODE_LIGHT = 1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_LIGHT","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_LIGHT = 1@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_LIGHT = 1"
"MODE_LIGHT = 1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_LIGHT","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_LIGHT = 1@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_LIGHT = 1"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor(item.value)","ArkTS","entry\src\main\ets\pages\Index.ets:234","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:234","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor(item.value)","ArkTS","entry\src\main\ets\pages\Index.ets:261","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:261","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor(this.filterStr === item.value ? '#3F51B5' : '#EEEEEE')","ArkTS","entry\src\main\ets\pages\Index.ets:287","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:287","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.button_bg'))","ArkTS","entry\src\main\ets\pages\Index.ets:328","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:328","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FF4081')","ArkTS","entry\src\main\ets\pages\Index.ets:340","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:340","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.log_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:363","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:363","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.panel_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:371","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:371","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor(item.value)","ArkTS","entry\src\main\ets\pages\Index.ets:234","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:234","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor(item.value)","ArkTS","entry\src\main\ets\pages\Index.ets:261","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:261","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor(this.filterStr === item.value ? '#3F51B5' : '#EEEEEE')","ArkTS","entry\src\main\ets\pages\Index.ets:287","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:287","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
