Api Name,Api Type,Api File Path,Api Prefix,Api Params,API Args,Invoke Method,Invoke Location,Api Key,Invoke Instance,ChangeId,MethodDefinition
"MODE_AUTO = -1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_AUTO","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_AUTO = -1@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_AUTO = -1"
"MODE_AUTO = -1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_AUTO","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_AUTO = -1@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_AUTO = -1"
"MODE_DARK = 0","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_DARK","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_DARK = 0@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_DARK = 0"
"MODE_DARK = 0","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_DARK","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_DARK = 0@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_DARK = 0"
"MODE_LIGHT = 1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_LIGHT","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_LIGHT = 1@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_LIGHT = 1"
"MODE_LIGHT = 1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_LIGHT","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_LIGHT = 1@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_LIGHT = 1"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FFFFFF')","ArkTS","entry\src\main\ets\pages\Index.ets:222","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:222","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#F7F7F7')","ArkTS","entry\src\main\ets\pages\Index.ets:263","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:263","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#dbdbdb')","ArkTS","entry\src\main\ets\pages\Index.ets:272","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:272","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#dbdbdb')","ArkTS","entry\src\main\ets\pages\Index.ets:279","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:279","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#dbdbdb')","ArkTS","entry\src\main\ets\pages\Index.ets:286","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:286","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#dbdbdb')","ArkTS","entry\src\main\ets\pages\Index.ets:293","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:293","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#dbdbdb')","ArkTS","entry\src\main\ets\pages\Index.ets:302","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:302","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#f1f1f1')","ArkTS","entry\src\main\ets\pages\Index.ets:313","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:313","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#FFFFFF')","ArkTS","entry\src\main\ets\pages\Index.ets:222","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:222","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#F7F7F7')","ArkTS","entry\src\main\ets\pages\Index.ets:263","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:263","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#dbdbdb')","ArkTS","entry\src\main\ets\pages\Index.ets:272","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:272","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#dbdbdb')","ArkTS","entry\src\main\ets\pages\Index.ets:279","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:279","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#dbdbdb')","ArkTS","entry\src\main\ets\pages\Index.ets:286","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:286","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#dbdbdb')","ArkTS","entry\src\main\ets\pages\Index.ets:293","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:293","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#dbdbdb')","ArkTS","entry\src\main\ets\pages\Index.ets:302","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:302","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#f1f1f1')","ArkTS","entry\src\main\ets\pages\Index.ets:313","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:313","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(value: ResourceColor): T","类新增同名方法且参数类型与已有的参数类型范围不是包含关系","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FFFFFF')","ArkTS","entry\src\main\ets\pages\Index.ets:222","backgroundColor(value: ResourceColor): T@entry\src\main\ets\pages\Index.ets:222","","5.1.0(18)","backgroundColor(value: ResourceColor): T"
"backgroundColor(value: ResourceColor): T","类新增同名方法且参数类型与已有的参数类型范围不是包含关系","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#F7F7F7')","ArkTS","entry\src\main\ets\pages\Index.ets:263","backgroundColor(value: ResourceColor): T@entry\src\main\ets\pages\Index.ets:263","","5.1.0(18)","backgroundColor(value: ResourceColor): T"
"backgroundColor(value: ResourceColor): T","类新增同名方法且参数类型与已有的参数类型范围不是包含关系","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#dbdbdb')","ArkTS","entry\src\main\ets\pages\Index.ets:272","backgroundColor(value: ResourceColor): T@entry\src\main\ets\pages\Index.ets:272","","5.1.0(18)","backgroundColor(value: ResourceColor): T"
"backgroundColor(value: ResourceColor): T","类新增同名方法且参数类型与已有的参数类型范围不是包含关系","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#dbdbdb')","ArkTS","entry\src\main\ets\pages\Index.ets:279","backgroundColor(value: ResourceColor): T@entry\src\main\ets\pages\Index.ets:279","","5.1.0(18)","backgroundColor(value: ResourceColor): T"
"backgroundColor(value: ResourceColor): T","类新增同名方法且参数类型与已有的参数类型范围不是包含关系","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#dbdbdb')","ArkTS","entry\src\main\ets\pages\Index.ets:286","backgroundColor(value: ResourceColor): T@entry\src\main\ets\pages\Index.ets:286","","5.1.0(18)","backgroundColor(value: ResourceColor): T"
"backgroundColor(value: ResourceColor): T","类新增同名方法且参数类型与已有的参数类型范围不是包含关系","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#dbdbdb')","ArkTS","entry\src\main\ets\pages\Index.ets:293","backgroundColor(value: ResourceColor): T@entry\src\main\ets\pages\Index.ets:293","","5.1.0(18)","backgroundColor(value: ResourceColor): T"
"backgroundColor(value: ResourceColor): T","类新增同名方法且参数类型与已有的参数类型范围不是包含关系","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#dbdbdb')","ArkTS","entry\src\main\ets\pages\Index.ets:302","backgroundColor(value: ResourceColor): T@entry\src\main\ets\pages\Index.ets:302","","5.1.0(18)","backgroundColor(value: ResourceColor): T"
"backgroundColor(value: ResourceColor): T","类新增同名方法且参数类型与已有的参数类型范围不是包含关系","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#f1f1f1')","ArkTS","entry\src\main\ets\pages\Index.ets:313","backgroundColor(value: ResourceColor): T@entry\src\main\ets\pages\Index.ets:313","","5.1.0(18)","backgroundColor(value: ResourceColor): T"
"borderRadius(radius: Dimension | BorderRadiuses): T","新增API","harmonyos_api_changes/HarmonyOS_5.0.3(15)_Beta1.json","borderRadius","",".borderRadius(TagMetrics.RADIUS)","ArkTS","entry\src\main\ets\pages\Index.ets:179","borderRadius(radius: Dimension | BorderRadiuses): T@entry\src\main\ets\pages\Index.ets:179","","5.0.3(15)","borderRadius(radius: Dimension | BorderRadiuses): T"
"borderRadius(radius: Dimension | BorderRadiuses): T","新增API","harmonyos_api_changes/HarmonyOS_5.0.3(15)_Beta1.json","borderRadius","",".borderRadius(TagMetrics.RADIUS)","ArkTS","entry\src\main\ets\pages\Index.ets:186","borderRadius(radius: Dimension | BorderRadiuses): T@entry\src\main\ets\pages\Index.ets:186","","5.0.3(15)","borderRadius(radius: Dimension | BorderRadiuses): T"
"borderRadius(radius: Dimension | BorderRadiuses): T","新增API","harmonyos_api_changes/HarmonyOS_5.0.3(15)_Beta1.json","borderRadius","",".borderRadius(TagMetrics.RADIUS)","ArkTS","entry\src\main\ets\pages\Index.ets:195","borderRadius(radius: Dimension | BorderRadiuses): T@entry\src\main\ets\pages\Index.ets:195","","5.0.3(15)","borderRadius(radius: Dimension | BorderRadiuses): T"
"borderRadius(value: Length | BorderRadiuses | LocalizedBorderRadiuses): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.2(22).json","borderRadius","",".borderRadius(TagMetrics.RADIUS)","ArkTS","entry\src\main\ets\pages\Index.ets:179","borderRadius(value: Length | BorderRadiuses | LocalizedBorderRadiuses): T@entry\src\main\ets\pages\Index.ets:179","","6.0.2(22)","borderRadius(value: Length | BorderRadiuses | LocalizedBorderRadiuses): T"
"borderRadius(value: Length | BorderRadiuses | LocalizedBorderRadiuses): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.2(22).json","borderRadius","",".borderRadius(TagMetrics.RADIUS)","ArkTS","entry\src\main\ets\pages\Index.ets:186","borderRadius(value: Length | BorderRadiuses | LocalizedBorderRadiuses): T@entry\src\main\ets\pages\Index.ets:186","","6.0.2(22)","borderRadius(value: Length | BorderRadiuses | LocalizedBorderRadiuses): T"
"borderRadius(value: Length | BorderRadiuses | LocalizedBorderRadiuses): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.2(22).json","borderRadius","",".borderRadius(TagMetrics.RADIUS)","ArkTS","entry\src\main\ets\pages\Index.ets:195","borderRadius(value: Length | BorderRadiuses | LocalizedBorderRadiuses): T@entry\src\main\ets\pages\Index.ets:195","","6.0.2(22)","borderRadius(value: Length | BorderRadiuses | LocalizedBorderRadiuses): T"
"borderRadius: number","新增API","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","borderRadius","",".borderRadius(TagMetrics.RADIUS)","ArkTS","entry\src\main\ets\pages\Index.ets:179","borderRadius: number@entry\src\main\ets\pages\Index.ets:179","","6.0.0(20)","borderRadius: number"
"borderRadius: number","新增API","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","borderRadius","",".borderRadius(TagMetrics.RADIUS)","ArkTS","entry\src\main\ets\pages\Index.ets:186","borderRadius: number@entry\src\main\ets\pages\Index.ets:186","","6.0.0(20)","borderRadius: number"
"borderRadius: number","新增API","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","borderRadius","",".borderRadius(TagMetrics.RADIUS)","ArkTS","entry\src\main\ets\pages\Index.ets:195","borderRadius: number@entry\src\main\ets\pages\Index.ets:195","","6.0.0(20)","borderRadius: number"
"borderRadius?: Length","新增API","harmonyos_api_changes/HarmonyOS_6.0.2(22).json","borderRadius","",".borderRadius(TagMetrics.RADIUS)","ArkTS","entry\src\main\ets\pages\Index.ets:179","borderRadius?: Length@entry\src\main\ets\pages\Index.ets:179","","6.0.2(22)","borderRadius?: Length"
"borderRadius?: Length","新增API","harmonyos_api_changes/HarmonyOS_6.0.2(22).json","borderRadius","",".borderRadius(TagMetrics.RADIUS)","ArkTS","entry\src\main\ets\pages\Index.ets:186","borderRadius?: Length@entry\src\main\ets\pages\Index.ets:186","","6.0.2(22)","borderRadius?: Length"
"borderRadius?: Length","新增API","harmonyos_api_changes/HarmonyOS_6.0.2(22).json","borderRadius","",".borderRadius(TagMetrics.RADIUS)","ArkTS","entry\src\main\ets\pages\Index.ets:195","borderRadius?: Length@entry\src\main\ets\pages\Index.ets:195","","6.0.2(22)","borderRadius?: Length"
"borderRadius?: LengthMetrics","接口新增可选属性","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","borderRadius","",".borderRadius(TagMetrics.RADIUS)","ArkTS","entry\src\main\ets\pages\Index.ets:179","borderRadius?: LengthMetrics@entry\src\main\ets\pages\Index.ets:179","","5.1.0(18)","borderRadius?: LengthMetrics"
"borderRadius?: LengthMetrics","接口新增可选属性","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","borderRadius","",".borderRadius(TagMetrics.RADIUS)","ArkTS","entry\src\main\ets\pages\Index.ets:186","borderRadius?: LengthMetrics@entry\src\main\ets\pages\Index.ets:186","","5.1.0(18)","borderRadius?: LengthMetrics"
"borderRadius?: LengthMetrics","接口新增可选属性","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","borderRadius","",".borderRadius(TagMetrics.RADIUS)","ArkTS","entry\src\main\ets\pages\Index.ets:195","borderRadius?: LengthMetrics@entry\src\main\ets\pages\Index.ets:195","","5.1.0(18)","borderRadius?: LengthMetrics"
"borderRadius?: LengthMetrics | BorderRadiuses | LocalizedBorderRadiuses","新增API","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","borderRadius","",".borderRadius(TagMetrics.RADIUS)","ArkTS","entry\src\main\ets\pages\Index.ets:179","borderRadius?: LengthMetrics | BorderRadiuses | LocalizedBorderRadiuses@entry\src\main\ets\pages\Index.ets:179","","6.0.0(20)","borderRadius?: LengthMetrics | BorderRadiuses | LocalizedBorderRadiuses"
