Api Name,Api Type,Api File Path,Api Prefix,Api Params,API Args,Invoke Method,Invoke Location,Api Key,Invoke Instance,ChangeId,MethodDefinition
"Error","枚举赋值发生改变","harmonyos_api_changes/HarmonyOS_26.0.0_Beta2.json","Error","","throw new Error(""You can't use a null List<Item> instance."");","ArkTS","ohos_library\src\main\ets\HeaderRecyclerViewDataSource.ets:196","Error@ohos_library\src\main\ets\HeaderRecyclerViewDataSource.ets:196","","26.0.0 Beta2","Error"
"MODE_AUTO = -1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_AUTO","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_AUTO = -1@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_AUTO = -1"
"MODE_AUTO = -1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_AUTO","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_AUTO = -1@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_AUTO = -1"
"MODE_DARK = 0","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_DARK","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_DARK = 0@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_DARK = 0"
"MODE_DARK = 0","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_DARK","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_DARK = 0@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_DARK = 0"
"MODE_LIGHT = 1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_LIGHT","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_LIGHT = 1@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_LIGHT = 1"
"MODE_LIGHT = 1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_LIGHT","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_LIGHT = 1@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_LIGHT = 1"
"align(alignType: Alignment): T","新增API","harmonyos_api_changes/HarmonyOS_5.0.3(15)_Beta1.json","align","",".align(Alignment.Bottom)","ArkTS","entry\src\main\ets\components\CharacterCard.ets:73","align(alignType: Alignment): T@entry\src\main\ets\components\CharacterCard.ets:73","","5.0.3(15)","align(alignType: Alignment): T"
"align(alignType: Alignment): T","新增API","harmonyos_api_changes/HarmonyOS_5.0.3(15)_Beta1.json","align","",".align(Alignment.BottomStart)","ArkTS","entry\src\main\ets\components\CharacterCard.ets:87","align(alignType: Alignment): T@entry\src\main\ets\components\CharacterCard.ets:87","","5.0.3(15)","align(alignType: Alignment): T"
"align(value: Alignment): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","align","",".align(Alignment.Bottom)","ArkTS","entry\src\main\ets\components\CharacterCard.ets:73","align(value: Alignment): T@entry\src\main\ets\components\CharacterCard.ets:73","","6.0.0(20)","align(value: Alignment): T"
