Api Name,Api Type,Api File Path,Api Prefix,Api Params,API Args,Invoke Method,Invoke Location,Api Key,Invoke Instance,ChangeId,MethodDefinition
"MODE_AUTO = -1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_AUTO","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_AUTO = -1@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_AUTO = -1"
"MODE_AUTO = -1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_AUTO","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_AUTO = -1@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_AUTO = -1"
"MODE_DARK = 0","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_DARK","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_DARK = 0@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_DARK = 0"
"MODE_DARK = 0","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_DARK","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_DARK = 0@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_DARK = 0"
"MODE_LIGHT = 1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_LIGHT","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_LIGHT = 1@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_LIGHT = 1"
"MODE_LIGHT = 1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_LIGHT","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_LIGHT = 1@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_LIGHT = 1"
"abstract cancel(chatId: number): void","类新增必选属性或非同名方法","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta3.json","abstract","","this.mRotateAnimator.cancel();","ArkTS","library\src\main\ets\components\InsLoadingView.ets:312","abstract cancel(chatId: number): void@library\src\main\ets\components\InsLoadingView.ets:312","this","6.0.0(20)","abstract cancel(chatId: number): void"
"abstract cancel(chatId: number): void","类新增必选属性或非同名方法","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta3.json","abstract","","this.mCircleAnimator.cancel();","ArkTS","library\src\main\ets\components\InsLoadingView.ets:315","abstract cancel(chatId: number): void@library\src\main\ets\components\InsLoadingView.ets:315","this","6.0.0(20)","abstract cancel(chatId: number): void"
"addColorStop(offset: number, color: string): void","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","addColorStop","","grad.addColorStop(0, this.mStartColor);","ArkTS","library\src\main\ets\components\InsLoadingView.ets:429","addColorStop(offset: number, color: string): void@library\src\main\ets\components\InsLoadingView.ets:429","grad","6.0.0(20)","addColorStop(offset: number, color: string): void"
"addColorStop(offset: number, color: string): void","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","addColorStop","","grad.addColorStop(1, this.mEndColor);","ArkTS","library\src\main\ets\components\InsLoadingView.ets:430","addColorStop(offset: number, color: string): void@library\src\main\ets\components\InsLoadingView.ets:430","grad","6.0.0(20)","addColorStop(offset: number, color: string): void"
"animateTo(value: AnimateParam, event: () => void): void","接口行为变更","harmonyos_behavior_changes/HarmonyOS_5.0.1(13)_Release.json","animateTo","","this.getUIContext().animateTo({","ArkTS","entry\src\main\ets\apiChangeTest\AGdimU0.ets:7","animateTo(value: AnimateParam, event: () => void): void@entry\src\main\ets\apiChangeTest\AGdimU0.ets:7","this","5.0.1(13)","animateTo(value: AnimateParam, event: () => void): void"
"animateTo(value: AnimateParam, event: () => void): void","接口行为变更","harmonyos_behavior_changes/HarmonyOS_5.0.1(13)_Release.json","animateTo","","this.getUIContext().animateTo(","ArkTS","library\src\main\ets\components\InsLoadingView.ets:356","animateTo(value: AnimateParam, event: () => void): void@library\src\main\ets\components\InsLoadingView.ets:356","this","5.0.1(13)","animateTo(value: AnimateParam, event: () => void): void"
"animateTo(value: AnimateParam, event: () => void): void","接口行为变更","harmonyos_behavior_changes/HarmonyOS_5.0.1(13)_Release.json","animateTo","","this.getUIContext().animateTo(","ArkTS","library\src\main\ets\components\InsLoadingView.ets:364","animateTo(value: AnimateParam, event: () => void): void@library\src\main\ets\components\InsLoadingView.ets:364","this","5.0.1(13)","animateTo(value: AnimateParam, event: () => void): void"
"arc(x: number, y: number, radius: number, startAngle: number, endAngle: number, counterclockwise?: boolean): void","接口行为变更","harmonyos_behavior_changes/HarmonyOS_5.1.0(18)_Release.json","arc","","ctx.arc(cx, cy, bitmapRadius, 0, Math.PI * 2);","ArkTS","library\src\main\ets\components\InsLoadingView.ets:502","arc(x: number, y: number, radius: number, startAngle: number, endAngle: number, counterclockwise?: boolean): void@library\src\main\ets\components\InsLoadingView.ets:502","ctx","5.1.0(18)","arc(x: number, y: number, radius: number, startAngle: number, endAngle: number, counterclockwise?: boolean): void"
"arc(x: number, y: number, radius: number, startAngle: number, endAngle: number, counterclockwise?: boolean): void","接口行为变更","harmonyos_behavior_changes/HarmonyOS_5.1.0(18)_Release.json","arc","","ctx.arc(cx, cy, radius, startRad, endRad, ccw);","ArkTS","library\src\main\ets\components\InsLoadingView.ets:607","arc(x: number, y: number, radius: number, startAngle: number, endAngle: number, counterclockwise?: boolean): void@library\src\main\ets\components\InsLoadingView.ets:607","ctx","5.1.0(18)","arc(x: number, y: number, radius: number, startAngle: number, endAngle: number, counterclockwise?: boolean): void"
"arc(x: number, y: number, radius: number, startAngle: number, endAngle: number, counterclockwise?: boolean): void","接口行为变更","harmonyos_behavior_changes/HarmonyOS_5.1.0(18)_Release.json","arc","","ctx.arc(cx, cy, trackRadius, 0, Math.PI * 2);","ArkTS","library\src\main\ets\components\InsLoadingView.ets:627","arc(x: number, y: number, radius: number, startAngle: number, endAngle: number, counterclockwise?: boolean): void@library\src\main\ets\components\InsLoadingView.ets:627","ctx","5.1.0(18)","arc(x: number, y: number, radius: number, startAngle: number, endAngle: number, counterclockwise?: boolean): void"
"backToTop(backToTop: boolean): T","新增API","harmonyos_api_changes/HarmonyOS_5.0.3(15)_Release.json","backToTop","",".backToTop(true)","ArkTS","entry\src\main\ets\apiChangeTest\RYTcSm3.ets:27","backToTop(backToTop: boolean): T@entry\src\main\ets\apiChangeTest\RYTcSm3.ets:27","","5.0.3(15)","backToTop(backToTop: boolean): T"
"backToTop(backToTop: boolean): T","新增API","harmonyos_api_changes/HarmonyOS_5.0.3(15)_Release.json","backToTop","",".backToTop(true)","ArkTS","entry\src\main\ets\pages\Index.ets:247","backToTop(backToTop: boolean): T@entry\src\main\ets\pages\Index.ets:247","","5.0.3(15)","backToTop(backToTop: boolean): T"
"backToTop(backToTop: boolean): T","新增API","harmonyos_api_changes/HarmonyOS_5.0.3(15)_Release.json","backToTop","",".backToTop(true)","ArkTS","entry\src\main\ets\pages\Index.ets:355","backToTop(backToTop: boolean): T@entry\src\main\ets\pages\Index.ets:355","","5.0.3(15)","backToTop(backToTop: boolean): T"
"backToTop(backToTop: boolean): T","新增API","harmonyos_api_changes/HarmonyOS_5.0.3(15)_Release.json","backToTop","",".backToTop(true)","ArkTS","entry\src\main\ets\pages\Index.ets:449","backToTop(backToTop: boolean): T@entry\src\main\ets\pages\Index.ets:449","","5.0.3(15)","backToTop(backToTop: boolean): T"
"backToTop(backToTop: boolean): T","新增API","harmonyos_api_changes/HarmonyOS_5.0.3(15)_Release.json","backToTop","",".backToTop(true)","ArkTS","entry\src\main\ets\pages\Index.ets:560","backToTop(backToTop: boolean): T@entry\src\main\ets\pages\Index.ets:560","","5.0.3(15)","backToTop(backToTop: boolean): T"
"backToTop(backToTop: boolean): T","新增API","harmonyos_api_changes/HarmonyOS_5.0.3(15)_Release.json","backToTop","",".backToTop(true)","ArkTS","entry\src\main\ets\pages\Index.ets:637","backToTop(backToTop: boolean): T@entry\src\main\ets\pages\Index.ets:637","","5.0.3(15)","backToTop(backToTop: boolean): T"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#336666')","ArkTS","entry\src\main\ets\apiChangeTest\FZnL3ih.ets:45","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\apiChangeTest\FZnL3ih.ets:45","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#667777')","ArkTS","entry\src\main\ets\apiChangeTest\RYTcSm3.ets:18","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\apiChangeTest\RYTcSm3.ets:18","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","","Text('page one').width('100%').height(120).backgroundColor('#336688')","ArkTS","entry\src\main\ets\apiChangeTest\pJqS7uH.ets:13","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\apiChangeTest\pJqS7uH.ets:13","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","","Text('page two').width('100%').height(120).backgroundColor('#883366')","ArkTS","entry\src\main\ets\apiChangeTest\pJqS7uH.ets:14","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\apiChangeTest\pJqS7uH.ets:14","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","","Text('page three').width('100%').height(120).backgroundColor('#668833')","ArkTS","entry\src\main\ets\apiChangeTest\pJqS7uH.ets:15","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\apiChangeTest\pJqS7uH.ets:15","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#445566')","ArkTS","entry\src\main\ets\apiChangeTest\rNvEk2Y.ets:93","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\apiChangeTest\rNvEk2Y.ets:93","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#223333')","ArkTS","entry\src\main\ets\apiChangeTest\rNvEk2Y.ets:97","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\apiChangeTest\rNvEk2Y.ets:97","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FF1F2937')","ArkTS","entry\src\main\ets\pages\Index.ets:163","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:163","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FFE5E7EB')","ArkTS","entry\src\main\ets\pages\Index.ets:172","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:172","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FFFFFFFF')","ArkTS","entry\src\main\ets\pages\Index.ets:225","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:225","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FFE5E7EB')","ArkTS","entry\src\main\ets\pages\Index.ets:240","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:240","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FF3B82F6')","ArkTS","entry\src\main\ets\pages\Index.ets:267","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:267","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FFF9FAFB')","ArkTS","entry\src\main\ets\pages\Index.ets:276","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:276","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FF1F2937')","ArkTS","entry\src\main\ets\pages\Index.ets:31","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:31","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor(item.color)","ArkTS","entry\src\main\ets\pages\Index.ets:310","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:310","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FFFFD900')","ArkTS","entry\src\main\ets\pages\Index.ets:334","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:334","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FFE5E7EB')","ArkTS","entry\src\main\ets\pages\Index.ets:338","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:338","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FF1F2937')","ArkTS","entry\src\main\ets\pages\Index.ets:374","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:374","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FF1F2937')","ArkTS","entry\src\main\ets\pages\Index.ets:397","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:397","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FF1F2937')","ArkTS","entry\src\main\ets\pages\Index.ets:419","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:419","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FFFFFFFF')","ArkTS","entry\src\main\ets\pages\Index.ets:43","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:43","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FF1F2937')","ArkTS","entry\src\main\ets\pages\Index.ets:438","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:438","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
