Api Name,Api Type,Api File Path,Api Prefix,Api Params,API Args,Invoke Method,Invoke Location,Api Key,Invoke Instance,ChangeId,MethodDefinition
"MODE_AUTO = -1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_AUTO","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_AUTO = -1@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_AUTO = -1"
"MODE_AUTO = -1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_AUTO","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_AUTO = -1@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_AUTO = -1"
"MODE_DARK = 0","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_DARK","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_DARK = 0@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_DARK = 0"
"MODE_DARK = 0","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_DARK","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_DARK = 0@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_DARK = 0"
"MODE_LIGHT = 1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_LIGHT","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_LIGHT = 1@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_LIGHT = 1"
"MODE_LIGHT = 1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_LIGHT","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_LIGHT = 1@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_LIGHT = 1"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.card_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:222","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:222","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.card_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:229","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:229","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.page_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:247","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:247","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.accent'))","ArkTS","entry\src\main\ets\pages\Index.ets:264","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:264","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.button_secondary_bg'))","ArkTS","entry\src\main\ets\pages\Index.ets:271","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:271","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.button_secondary_bg'))","ArkTS","entry\src\main\ets\pages\Index.ets:282","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:282","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.accent'))","ArkTS","entry\src\main\ets\pages\Index.ets:289","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:289","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.card_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:300","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:300","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.page_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:320","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:320","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.card_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:421","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:421","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor(hex)","ArkTS","entry\src\main\ets\pages\Index.ets:464","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:464","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor(this.fontFamily === family ? $r('app.color.accent') : $r('app.color.button_secondary_bg'))","ArkTS","entry\src\main\ets\pages\Index.ets:482","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:482","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.button_secondary_bg'))","ArkTS","entry\src\main\ets\pages\Index.ets:501","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:501","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.log_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:531","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:531","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.card_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:541","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:541","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor($r('app.color.card_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:222","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:222","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor($r('app.color.card_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:229","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:229","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor($r('app.color.page_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:247","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:247","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor($r('app.color.accent'))","ArkTS","entry\src\main\ets\pages\Index.ets:264","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:264","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor($r('app.color.button_secondary_bg'))","ArkTS","entry\src\main\ets\pages\Index.ets:271","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:271","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor($r('app.color.button_secondary_bg'))","ArkTS","entry\src\main\ets\pages\Index.ets:282","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:282","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor($r('app.color.accent'))","ArkTS","entry\src\main\ets\pages\Index.ets:289","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:289","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor($r('app.color.card_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:300","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:300","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor($r('app.color.page_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:320","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:320","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor($r('app.color.card_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:421","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:421","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor(hex)","ArkTS","entry\src\main\ets\pages\Index.ets:464","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:464","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor(this.fontFamily === family ? $r('app.color.accent') : $r('app.color.button_secondary_bg'))","ArkTS","entry\src\main\ets\pages\Index.ets:482","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:482","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor($r('app.color.button_secondary_bg'))","ArkTS","entry\src\main\ets\pages\Index.ets:501","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:501","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor($r('app.color.log_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:531","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:531","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor($r('app.color.card_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:541","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:541","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(value: ResourceColor): T","类新增同名方法且参数类型与已有的参数类型范围不是包含关系","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.card_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:222","backgroundColor(value: ResourceColor): T@entry\src\main\ets\pages\Index.ets:222","","5.1.0(18)","backgroundColor(value: ResourceColor): T"
"backgroundColor(value: ResourceColor): T","类新增同名方法且参数类型与已有的参数类型范围不是包含关系","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.card_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:229","backgroundColor(value: ResourceColor): T@entry\src\main\ets\pages\Index.ets:229","","5.1.0(18)","backgroundColor(value: ResourceColor): T"
"backgroundColor(value: ResourceColor): T","类新增同名方法且参数类型与已有的参数类型范围不是包含关系","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.page_background'))","ArkTS","entry\src\main\ets\pages\Index.ets:247","backgroundColor(value: ResourceColor): T@entry\src\main\ets\pages\Index.ets:247","","5.1.0(18)","backgroundColor(value: ResourceColor): T"
"backgroundColor(value: ResourceColor): T","类新增同名方法且参数类型与已有的参数类型范围不是包含关系","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.accent'))","ArkTS","entry\src\main\ets\pages\Index.ets:264","backgroundColor(value: ResourceColor): T@entry\src\main\ets\pages\Index.ets:264","","5.1.0(18)","backgroundColor(value: ResourceColor): T"
"backgroundColor(value: ResourceColor): T","类新增同名方法且参数类型与已有的参数类型范围不是包含关系","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.button_secondary_bg'))","ArkTS","entry\src\main\ets\pages\Index.ets:271","backgroundColor(value: ResourceColor): T@entry\src\main\ets\pages\Index.ets:271","","5.1.0(18)","backgroundColor(value: ResourceColor): T"
"backgroundColor(value: ResourceColor): T","类新增同名方法且参数类型与已有的参数类型范围不是包含关系","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.button_secondary_bg'))","ArkTS","entry\src\main\ets\pages\Index.ets:282","backgroundColor(value: ResourceColor): T@entry\src\main\ets\pages\Index.ets:282","","5.1.0(18)","backgroundColor(value: ResourceColor): T"
"backgroundColor(value: ResourceColor): T","类新增同名方法且参数类型与已有的参数类型范围不是包含关系","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor($r('app.color.accent'))","ArkTS","entry\src\main\ets\pages\Index.ets:289","backgroundColor(value: ResourceColor): T@entry\src\main\ets\pages\Index.ets:289","","5.1.0(18)","backgroundColor(value: ResourceColor): T"
