Api Name,Api Type,Api File Path,Api Prefix,Api Params,API Args,Invoke Method,Invoke Location,Api Key,Invoke Instance,ChangeId,MethodDefinition
"MODE_AUTO = -1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_AUTO","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_AUTO = -1@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_AUTO = -1"
"MODE_AUTO = -1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_AUTO","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_AUTO = -1@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_AUTO = -1"
"MODE_DARK = 0","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_DARK","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_DARK = 0@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_DARK = 0"
"MODE_DARK = 0","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_DARK","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_DARK = 0@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_DARK = 0"
"MODE_LIGHT = 1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_LIGHT","","import { AbilityConstant, ConfigurationConstant, UIAbility, Want } from '@kit.AbilityKit';","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:1","MODE_LIGHT = 1@entry\src\main\ets\entryability\EntryAbility.ets:1","","6.0.0(20)","MODE_LIGHT = 1"
"MODE_LIGHT = 1","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","MODE_LIGHT","","this.context.getApplicationContext().setColorMode(ConfigurationConstant.ColorMode.COLOR_MODE_NOT_SET);","ArkTS","entry\src\main\ets\entryability\EntryAbility.ets:10","MODE_LIGHT = 1@entry\src\main\ets\entryability\EntryAbility.ets:10","this","6.0.0(20)","MODE_LIGHT = 1"
"Map = 5","API废弃版本变更","harmonyos_api_changes/HarmonyOS_6.0.1(21)_Beta1.json","Map","","private views: Map<number, Object[]> = new Map();","ArkTS","library\src\main\ets\tablefixheaders\Recycler.ets:26","Map = 5@library\src\main\ets\tablefixheaders\Recycler.ets:26","","6.0.1(21)","Map = 5"
"align(alignType: Alignment): T","新增API","harmonyos_api_changes/HarmonyOS_5.0.3(15)_Beta1.json","align","",".align(Alignment.TopStart)","ArkTS","library\src\main\ets\tablefixheaders\TableFixHeaders.ets:579","align(alignType: Alignment): T@library\src\main\ets\tablefixheaders\TableFixHeaders.ets:579","","5.0.3(15)","align(alignType: Alignment): T"
"align(alignType: Alignment): T","新增API","harmonyos_api_changes/HarmonyOS_5.0.3(15)_Beta1.json","align","",".align(Alignment.TopStart)","ArkTS","library\src\main\ets\tablefixheaders\TableFixHeaders.ets:597","align(alignType: Alignment): T@library\src\main\ets\tablefixheaders\TableFixHeaders.ets:597","","5.0.3(15)","align(alignType: Alignment): T"
"align(alignType: Alignment): T","新增API","harmonyos_api_changes/HarmonyOS_5.0.3(15)_Beta1.json","align","",".align(Alignment.TopStart)","ArkTS","library\src\main\ets\tablefixheaders\TableFixHeaders.ets:621","align(alignType: Alignment): T@library\src\main\ets\tablefixheaders\TableFixHeaders.ets:621","","5.0.3(15)","align(alignType: Alignment): T"
"align(value: Alignment): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","align","",".align(Alignment.TopStart)","ArkTS","library\src\main\ets\tablefixheaders\TableFixHeaders.ets:579","align(value: Alignment): T@library\src\main\ets\tablefixheaders\TableFixHeaders.ets:579","","6.0.0(20)","align(value: Alignment): T"
"align(value: Alignment): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","align","",".align(Alignment.TopStart)","ArkTS","library\src\main\ets\tablefixheaders\TableFixHeaders.ets:597","align(value: Alignment): T@library\src\main\ets\tablefixheaders\TableFixHeaders.ets:597","","6.0.0(20)","align(value: Alignment): T"
"align(value: Alignment): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta1.json","align","",".align(Alignment.TopStart)","ArkTS","library\src\main\ets\tablefixheaders\TableFixHeaders.ets:621","align(value: Alignment): T@library\src\main\ets\tablefixheaders\TableFixHeaders.ets:621","","6.0.0(20)","align(value: Alignment): T"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#F5F6FA')","ArkTS","entry\src\main\ets\pages\FamilyTablePage.ets:101","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\FamilyTablePage.ets:101","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FFFFFF')","ArkTS","entry\src\main\ets\pages\FamilyTablePage.ets:59","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\FamilyTablePage.ets:59","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FAFAFA')","ArkTS","entry\src\main\ets\pages\FamilyTablePage.ets:69","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\FamilyTablePage.ets:69","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#F8F8F8')","ArkTS","entry\src\main\ets\pages\FamilyTablePage.ets:96","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\FamilyTablePage.ets:96","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#F5F6FA')","ArkTS","entry\src\main\ets\pages\Index.ets:125","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:125","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FFFFFF')","ArkTS","entry\src\main\ets\pages\Index.ets:64","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\Index.ets:64","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#F8F8F8')","ArkTS","entry\src\main\ets\pages\SimpleTablePage.ets:112","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\SimpleTablePage.ets:112","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#F5F6FA')","ArkTS","entry\src\main\ets\pages\SimpleTablePage.ets:117","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\SimpleTablePage.ets:117","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FFFFFF')","ArkTS","entry\src\main\ets\pages\SimpleTablePage.ets:75","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\SimpleTablePage.ets:75","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FAFAFA')","ArkTS","entry\src\main\ets\pages\SimpleTablePage.ets:85","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\SimpleTablePage.ets:85","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#F5F6FA')","ArkTS","entry\src\main\ets\pages\StyleTablePage.ets:102","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\StyleTablePage.ets:102","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FFFFFF')","ArkTS","entry\src\main\ets\pages\StyleTablePage.ets:60","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\StyleTablePage.ets:60","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#FAFAFA')","ArkTS","entry\src\main\ets\pages\StyleTablePage.ets:70","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\StyleTablePage.ets:70","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor('#F8F8F8')","ArkTS","entry\src\main\ets\pages\StyleTablePage.ets:97","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@entry\src\main\ets\pages\StyleTablePage.ets:97","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator","新增API","harmonyos_api_changes/HarmonyOS_5.1.0(18).json","backgroundColor","",".backgroundColor(this.getCellBg(row, col))","ArkTS","library\src\main\ets\tablefixheaders\TableFixHeaders.ets:554","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator@library\src\main\ets\tablefixheaders\TableFixHeaders.ets:554","","5.1.0(18)","backgroundColor(color: Optional<ResourceColor>): ArcDotIndicator"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#F5F6FA')","ArkTS","entry\src\main\ets\pages\FamilyTablePage.ets:101","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\FamilyTablePage.ets:101","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#FFFFFF')","ArkTS","entry\src\main\ets\pages\FamilyTablePage.ets:59","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\FamilyTablePage.ets:59","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#FAFAFA')","ArkTS","entry\src\main\ets\pages\FamilyTablePage.ets:69","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\FamilyTablePage.ets:69","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#F8F8F8')","ArkTS","entry\src\main\ets\pages\FamilyTablePage.ets:96","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\FamilyTablePage.ets:96","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#F5F6FA')","ArkTS","entry\src\main\ets\pages\Index.ets:125","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:125","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#FFFFFF')","ArkTS","entry\src\main\ets\pages\Index.ets:64","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\Index.ets:64","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#F8F8F8')","ArkTS","entry\src\main\ets\pages\SimpleTablePage.ets:112","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\SimpleTablePage.ets:112","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#F5F6FA')","ArkTS","entry\src\main\ets\pages\SimpleTablePage.ets:117","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\SimpleTablePage.ets:117","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#FFFFFF')","ArkTS","entry\src\main\ets\pages\SimpleTablePage.ets:75","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\SimpleTablePage.ets:75","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#FAFAFA')","ArkTS","entry\src\main\ets\pages\SimpleTablePage.ets:85","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\SimpleTablePage.ets:85","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#F5F6FA')","ArkTS","entry\src\main\ets\pages\StyleTablePage.ets:102","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\StyleTablePage.ets:102","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#FFFFFF')","ArkTS","entry\src\main\ets\pages\StyleTablePage.ets:60","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\StyleTablePage.ets:60","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#FAFAFA')","ArkTS","entry\src\main\ets\pages\StyleTablePage.ets:70","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\StyleTablePage.ets:70","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor('#F8F8F8')","ArkTS","entry\src\main\ets\pages\StyleTablePage.ets:97","backgroundColor(color: Optional<ResourceColor>): T@entry\src\main\ets\pages\StyleTablePage.ets:97","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
"backgroundColor(color: Optional<ResourceColor>): T","类新增同名方法且参数类型与已有的参数类型范围是包含关系","harmonyos_api_changes/HarmonyOS_6.0.0(20)_Beta2.json","backgroundColor","",".backgroundColor(this.getCellBg(row, col))","ArkTS","library\src\main\ets\tablefixheaders\TableFixHeaders.ets:554","backgroundColor(color: Optional<ResourceColor>): T@library\src\main\ets\tablefixheaders\TableFixHeaders.ets:554","","6.0.0(20)","backgroundColor(color: Optional<ResourceColor>): T"
