API名称,语言,SDK变更版本,影响版本,标题,代码位置,修复状态,变更类型
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174"",""按钮默认值变更为新增圆角矩形类型"")",entry\src\main\ets\pages\AgendaListPage.ets:223,未修复,UX视觉布局变更
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174"",""按钮默认值变更为新增圆角矩形类型"")",entry\src\main\ets\pages\AgendaListPage.ets:231,未修复,UX视觉布局变更
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174"",""按钮默认值变更为新增圆角矩形类型"")",entry\src\main\ets\pages\AgendaListPage.ets:239,未修复,UX视觉布局变更
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174"",""按钮默认值变更为新增圆角矩形类型"")",entry\src\main\ets\pages\AgendaListPage.ets:247,未修复,UX视觉布局变更
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174"",""按钮默认值变更为新增圆角矩形类型"")",entry\src\main\ets\pages\CountGridPage.ets:308,未修复,UX视觉布局变更
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174"",""按钮默认值变更为新增圆角矩形类型"")",entry\src\main\ets\pages\CountGridPage.ets:316,未修复,UX视觉布局变更
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174"",""按钮默认值变更为新增圆角矩形类型"")",entry\src\main\ets\pages\CountGridPage.ets:324,未修复,UX视觉布局变更
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174"",""按钮默认值变更为新增圆角矩形类型"")",entry\src\main\ets\pages\CountGridPage.ets:332,未修复,UX视觉布局变更
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174"",""按钮默认值变更为新增圆角矩形类型"")",entry\src\main\ets\pages\CountGridPage.ets:340,未修复,UX视觉布局变更
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174"",""按钮默认值变更为新增圆角矩形类型"")",entry\src\main\ets\pages\CountGridPage.ets:348,未修复,UX视觉布局变更
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174"",""按钮默认值变更为新增圆角矩形类型"")",entry\src\main\ets\pages\CountGridPage.ets:356,未修复,UX视觉布局变更
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174"",""按钮默认值变更为新增圆角矩形类型"")",entry\src\main\ets\pages\CountGridPage.ets:364,未修复,UX视觉布局变更
declare const Button: ButtonInterface,ArkTS,5.1.0(18) Release,5.1.0(18) - 26.0.0(26.0.0),"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-ux-5101/#section174"",""按钮默认值变更为新增圆角矩形类型"")",entry\src\main\ets\pages\CountGridPage.ets:372,未修复,UX视觉布局变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\AgendaListPage.ets:211,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\AgendaListPage.ets:281,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\CountGridPage.ets:147,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\CountGridPage.ets:163,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\CountGridPage.ets:296,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\CountGridPage.ets:412,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\Index.ets:13,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\Index.ets:34,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\Index.ets:45,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\Index.ets:67,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",entry\src\main\ets\pages\Index.ets:78,未修复,接口定义变更
fontWeight(value: number | FontWeight | string): TextAttribute,ArkTS,6.0.0(20) Beta1,ALL,"=HYPERLINK(""https://developer.huawei.com/consumer/cn/doc/harmonyos-releases/changelogs-for-all-apps-6001/#section383"",""文本与输入、信息展示、按钮与选择、滚动与滑动、图形绘制组件接口支持Resource类型"")",ohos_library\src\main\ets\sectionedrecyclerview\DefaultSectionHeader.ets:20,未修复,接口定义变更
