Api Name,Api Type,Api File Path,Api Prefix,Api Params,API Args,Invoke Method,Invoke Location,Api Key,Invoke Instance,ChangeId,MethodDefinition
this,Property,%unk,,,,%dflt,entry\src\main\ets\entryability\EntryAbility.ets:-1,@%unk/%unk: .()#this,,,
this,Property,%unk,,,,%dflt,entry\src\main\ets\entrybackupability\EntryBackupAbility.ets:-1,@%unk/%unk: .()#this,,,
this,Property,%unk,,,,%dflt,entry\src\main\ets\pages\Index.ets:-1,@%unk/%unk: .()#this,,,
this,Property,%unk,,,,%dflt,entry\src\ohosTest\ets\test\Ability.test.ets:-1,@%unk/%unk: .()#this,,,
this,Property,%unk,,,,%dflt,entry\src\ohosTest\ets\test\List.test.ets:-1,@%unk/%unk: .()#this,,,
this,Property,%unk,,,,%dflt,entry\src\test\List.test.ets:-1,@%unk/%unk: .()#this,,,
this,Property,%unk,,,,%dflt,entry\src\test\LocalUnit.test.ets:-1,@%unk/%unk: .()#this,,,
DOMAIN,Constant,%unk,,,,%dflt,entry\src\main\ets\entryability\EntryAbility.ets:5,@%unk/%unk: .()#DOMAIN,,,
DOMAIN,Constant,%unk,,,,onCreate,entry\src\main\ets\entryability\EntryAbility.ets:12,@%unk/%unk: .()#DOMAIN,,,
DOMAIN,Constant,%unk,,,,onCreate,entry\src\main\ets\entryability\EntryAbility.ets:14,@%unk/%unk: .()#DOMAIN,,,
DOMAIN,Constant,%unk,,,,onDestroy,entry\src\main\ets\entryability\EntryAbility.ets:18,@%unk/%unk: .()#DOMAIN,,,
DOMAIN,Constant,%unk,,,,onWindowStageCreate,entry\src\main\ets\entryability\EntryAbility.ets:23,@%unk/%unk: .()#DOMAIN,,,
DOMAIN,Constant,%unk,,,,onWindowStageDestroy,entry\src\main\ets\entryability\EntryAbility.ets:36,@%unk/%unk: .()#DOMAIN,,,
DOMAIN,Constant,%unk,,,,onForeground,entry\src\main\ets\entryability\EntryAbility.ets:41,@%unk/%unk: .()#DOMAIN,,,
DOMAIN,Constant,%unk,,,,onBackground,entry\src\main\ets\entryability\EntryAbility.ets:46,@%unk/%unk: .()#DOMAIN,,,
DOMAIN,Constant,%unk,,,,%AM0$onWindowStageCreate,entry\src\main\ets\entryability\EntryAbility.ets:27,@%unk/%unk: .()#DOMAIN,,,
DOMAIN,Constant,%unk,,,,%AM0$onWindowStageCreate,entry\src\main\ets\entryability\EntryAbility.ets:30,@%unk/%unk: .()#DOMAIN,,,
DOMAIN,Constant,%unk,,,,%dflt,entry\src\main\ets\entrybackupability\EntryBackupAbility.ets:4,@%unk/%unk: .()#DOMAIN,,,
DOMAIN,Constant,%unk,,,,onBackup,entry\src\main\ets\entrybackupability\EntryBackupAbility.ets:8,@%unk/%unk: .()#DOMAIN,,,
